"item_id","cate_id","timestamp"
"493659","1_1","1486744638"
"481181","1_17","1486598042"
"486720","1_11","1486684315"
"559008","1_11","1487372097"
"523054","1_23","1486972971"
"523057","1_7","1486972979"
"523056","1_6","1486972977"
"523051","1_17","1486972961"
"523053","1_6","1486972963"
"494920","1_18","1486771984"
"494922","1_18","1486771991"
"523059","1_6","1486972985"
"494925","1_18","1486771998"
"494926","1_18","1486772003"
"494927","1_12","1486772010"
"153825","3_2","1472447553"
"515065","1_7","1486906351"
"515064","1_7","1486906339"
"515066","1_11","1486906352"
"515061","1_9","1486906304"
"515060","1_7","1486906301"
"515063","1_9","1486906328"
"515069","1_17","1486906363"
"515068","1_7","1486906360"
"286234","1_5","1479903361"
"195518","1_5","1474884541"
"286239","1_5","1479804555"
"323058","1_4","1481355556"
"545968","1_7","1487221757"
"545967","1_1","1487221752"
"545963","1_23","1487221739"
"510589","1_14","1486879569"
"510588","1_6","1486879568"
"510585","1_5","1486879560"
"510584","1_6","1486879560"
"510587","1_11","1486879566"
"510581","3_13","1486879553"
"510580","1_6","1486879552"
"510582","1_3","1486879554"
"554377","1_1","1487317918"
"554374","1_11","1487317895"
"461897","1_2","1486288833"
"554372","1_5","1487317885"
"554373","1_5","1487317893"
"411433","1_1","1485097562"
"463001","1_5","1486304336"
"463003","1_5","1486304362"
"411439","1_1","1485130448"
"463007","1_23","1486304406"
"554379","1_11","1487317928"
"499264","1_15","1486796435"
"499265","1_14","1486796438"
"499260","1_9","1486796416"
"499262","1_7","1486796419"
"499263","1_1","1486796430"
"499268","1_1","1486796446"
"499269","1_1","1486796448"
"488785","1_27","1486699107"
"488784","1_5","1486699094"
"488787","1_15","1486699120"
"488780","3_19","1486699073"
"528821","1_14","1487032247"
"528820","1_8","1487032179"
"528822","1_6","1487032221"
"528825","1_6","1487032232"
"528826","1_6","1487032239"
"528829","1_1","1487032309"
"276999","3_2","1483078261"
"513058","1_3","1486895054"
"513059","1_3","1486895058"
"513052","1_6","1486895034"
"513053","1_6","1486895037"
"513050","1_17","1486895030"
"513051","1_2","1486895033"
"513057","1_5","1486895052"
"513055","1_12","1486895043"
"462356","1_2","1486294920"
"462357","1_11","1486294944"
"462354","1_2","1486294907"
"462355","1_11","1486294911"
"462352","1_23","1486294890"
"462353","1_9","1486294905"
"462351","1_11","1486294886"
"549936","1_16","1487253462"
"549937","1_17","1487253476"
"549934","1_1","1487253452"
"549935","1_6","1487253453"
"549932","1_6","1487253446"
"549933","1_6","1487253448"
"549930","1_6","1487253434"
"549931","1_2","1487253442"
"559845","1_1","1487379052"
"549938","1_6","1487253496"
"533397","1_9","1487073600"
"533392","1_15","1487062146"
"258941","1_3","1478570398"
"533399","1_13","1487062203"
"533398","1_11","1487062189"
"256129","1_5","1478470862"
"467808","1_13","1486391462"
"467807","1_13","1486391882"
"467803","1_13","1486393263"
"416161","1_11","1485745801"
"416168","1_11","1485242930"
"380854","1_11","1485154081"
"495897","1_11","1486777079"
"495896","1_23","1486777050"
"495895","1_17","1486777041"
"495894","1_6","1486777039"
"495891","1_17","1486777028"
"495890","1_1","1486777027"
"495898","1_15","1486777089"
"388676","1_5","1484449599"
"446242","1_23","1486091795"
"446243","1_23","1486091660"
"446240","1_23","1486091942"
"446241","1_23","1486091277"
"463404","1_11","1486339959"
"446244","1_23","1486092066"
"497491","3_1","1486784433"
"497490","1_5","1486784432"
"532446","3_8","1487053734"
"532447","1_10","1487053735"
"532440","1_6","1487053690"
"497494","1_6","1486784448"
"497497","1_9","1486784466"
"497496","1_10","1486784455"
"497499","1_3","1486784471"
"497498","1_12","1486784470"
"532448","1_6","1487053738"
"532449","1_2","1487053746"
"564849","1_11","1487411489"
"564848","1_17","1487411480"
"545149","1_6","1487215401"
"545148","1_23","1487215378"
"545147","1_5","1487215349"
"545145","1_6","1487215343"
"545144","1_2","1487250000"
"545143","1_11","1487215304"
"545142","1_6","1487215301"
"545141","1_1","1487215366"
"545140","1_6","1487215293"
"288688","1_1","1479986462"
"145430","1_5","1472703362"
"503076","3_23","1486815680"
"494929","1_5","1486772015"
"217534","1_6","1476324063"
"503070","3_2","1486815661"
"461076","1_23","1486282122"
"461074","1_2","1486282121"
"461072","1_5","1486643462"
"461073","1_5","1486297862"
"461070","1_9","1486282101"
"461071","1_5","1486645263"
"173151","1_7","1473647209"
"262313","1_11","1480468201"
"461079","1_4","1486526821"
"420101","1_11","1485489453"
"504515","1_18","1486823300"
"504514","1_6","1486823299"
"504513","1_11","1486823289"
"504512","1_11","1486823286"
"504510","3_2","1486823271"
"504518","3_6","1486823316"
"419481","1_2","1485509761"
"494924","1_5","1486771996"
"464597","1_17","1486346941"
"464594","1_12","1486346932"
"567309","1_16","1487426748"
"567308","1_12","1487426676"
"477567","1_11","1486521545"
"567300","1_4","1487426651"
"477562","1_3","1486521506"
"477560","1_2","1486569603"
"292251","3_6","1480125718"
"424155","1_1","1485580862"
"508519","1_6","1486867024"
"508518","1_27","1486867016"
"508513","1_3","1486867004"
"508512","1_12","1486867004"
"508511","1_2","1486867003"
"508510","1_15","1486866990"
"563948","1_3","1487405746"
"508516","1_14","1486867015"
"508515","1_1","1486867013"
"508514","1_14","1486867006"
"562878","3_6","1487396233"
"562875","3_6","1487396226"
"562876","1_3","1487396229"
"562877","1_3","1487396232"
"562870","1_1","1487396224"
"431627","1_8","1485780542"
"562873","3_6","1487396207"
"559644","1_7","1487377641"
"535131","1_5","1487077367"
"535130","1_3","1487077362"
"535133","1_2","1487127600"
"535132","1_6","1487077367"
"535134","1_6","1487077397"
"535137","1_3","1487077423"
"534843","1_23","1487075401"
"534841","1_1","1487075387"
"534846","1_11","1487075420"
"534847","1_23","1487075426"
"534844","1_11","1487075411"
"534845","1_2","1487088000"
"534848","1_6","1487075429"
"534849","1_6","1487075440"
"560656","1_6","1487383669"
"560657","1_18","1487383674"
"560653","1_1","1487383706"
"560650","1_10","1487383656"
"467028","1_16","1486364473"
"301215","1_3","1480386668"
"560658","1_1","1487383706"
"560659","1_6","1487383680"
"486809","1_23","1486685082"
"260296","1_5","1478782801"
"402847","1_8","1485331264"
"509648","1_1","1486872126"
"509649","1_3","1486872141"
"509641","1_9","1486872020"
"509643","1_5","1486872040"
"376788","1_12","1483963873"
"297914","3_1","1480248338"
"534266","1_1","1487069736"
"534267","1_10","1487069691"
"534265","1_8","1487069687"
"517588","1_23","1486945124"
"534263","1_11","1487069673"
"534261","1_19","1487069668"
"517584","1_5","1486956602"
"517585","1_18","1486945108"
"517586","1_9","1486945120"
"517587","1_6","1486945122"
"517580","1_18","1486945081"
"517581","1_9","1486945089"
"517582","1_12","1486945090"
"517583","1_11","1486945091"
"564029","1_15","1487406276"
"564028","1_4","1487406271"
"478649","1_3","1486533506"
"478648","1_3","1486533503"
"564021","1_3","1487415600"
"478646","1_27","1486533488"
"564023","1_3","1487406245"
"247239","1_5","1482816663"
"564025","1_2","1487406255"
"564024","1_6","1487406247"
"564027","1_27","1487406267"
"564026","1_6","1487406265"
"269732","1_14","1479201252"
"302745","1_3","1480425662"
"302741","3_1","1480406683"
"471925","1_14","1486438684"
"471924","1_1","1486449779"
"471927","1_1","1486442462"
"471920","1_1","1486441405"
"341068","1_12","1482309662"
"512871","1_23","1486893821"
"137188","1_12","1472702462"
"512876","1_6","1486893847"
"531729","1_15","1487050165"
"433414","1_23","1485841991"
"433413","1_23","1485813662"
"433412","1_23","1485841938"
"531720","1_9","1487050092"
"531721","1_3","1487050092"
