"item_id","cate_id","timestamp"
"494920","1_18","1486771984"
"494925","1_18","1486771998"
"494926","1_18","1486772003"
"494927","1_12","1486772010"
"545967","1_1","1487221752"
"545963","1_23","1487221739"
"494316","1_9","1486767993"
"554377","1_1","1487317918"
"554378","1_11","1487317917"
"513059","1_3","1486895058"
"513052","1_6","1486895034"
"513050","1_17","1486895030"
"513057","1_5","1486895052"
"513055","1_12","1486895043"
"491828","1_9","1486724910"
"532445","1_23","1487053726"
"532446","3_8","1487053734"
"532447","1_10","1487053735"
"532440","1_6","1487053690"
"532448","1_6","1487053738"
"257653","3_1","1478502150"
"491827","1_6","1486724909"
"562098","1_9","1487392062"
"562097","1_17","1487392055"
"562094","1_5","1487392026"
"562095","1_23","1487392029"
"562090","1_11","1487391881"
"554375","1_6","1487325600"
"463003","1_5","1486304362"
"554379","1_11","1487317928"
"517912","1_23","1486946957"
"517911","1_5","1486946948"
"517910","1_23","1486946937"
"451995","1_8","1486208941"
"451998","1_8","1486210381"
"488785","1_27","1486699107"
"539803","1_1","1487136339"
"539807","1_3","1487136362"
"539808","1_6","1487149200"
"469996","1_11","1486387735"
"510265","1_23","1486877571"
"510266","1_5","1486877572"
"510268","1_6","1486877581"
"566959","1_6","1487424483"
"566958","1_6","1487424482"
"566953","1_6","1487424461"
"566952","1_6","1487424442"
"566950","1_3","1487424429"
"566957","1_2","1487424481"
"566956","1_3","1487424522"
"566955","1_9","1487424475"
"566954","1_9","1487424469"
"542403","1_6","1487165569"
"542401","1_23","1487165564"
"540518","1_11","1487142379"
"540517","1_11","1487142356"
"540514","1_1","1487142326"
"232223","1_12","1477127393"
"511823","1_27","1486887512"
"561225","1_18","1487386279"
"561226","1_6","1487386280"
"561220","1_1","1487386284"
"561222","1_6","1487386268"
"561223","1_6","1487386272"
"475002","1_5","1486460825"
"523249","1_1","1486973869"
"523246","1_6","1486973856"
"523243","1_8","1486973846"
"396829","1_18","1484635862"
"560469","1_6","1487382857"
"560461","1_5","1487382814"
