,log_id,result,result_num
0,6567978039689292290,"[{u'score': 0.222364842892, u'name': u'苜蓿菜'}, {u'score': 0.217212304473, u'name': u'豆瓣菜'}, {u'score': 0.206562355161, u'name': u'非果蔬食材'}]",3
1,5297903712818244289,"[{u'score': 0.446080416441, u'name': u'非果蔬食材'}, {u'score': 0.167857840657, u'name': u'豆瓣菜'}, {u'score': 0.131042003632, u'name': u'空心菜'}]",3
2,1397200965043110860,"[{u'score': 0.587591409683, u'name': u'非果蔬食材'}, {u'score': 0.187719017267, u'name': u'空心菜'}, {u'score': 0.0489687733352, u'name': u'苜蓿菜'}]",3
3,6642154103616435746,"[{u'score': 0.557024717331, u'name': u'豆瓣菜'}, {u'score': 0.201883792877, u'name': u'非果蔬食材'}, {u'score': 0.0894238054752, u'name': u'苜蓿菜'}]",3
4,9013958836130178338,"[{u'score': 0.499223381281, u'name': u'非果蔬食材'}, {u'score': 0.268840193748, u'name': u'空心菜'}, {u'score': 0.0843957662582, u'name': u'蕹菜'}]",3
5,8120086604436705253,"[{u'score': 0.941398143768, u'name': u'非果蔬食材'}, {u'score': 0.0230738800019, u'name': u'空心菜'}, {u'score': 0.0063753305003, u'name': u'蕹菜'}]",3
6,2810578781519020170,"[{u'score': 0.491122037172, u'name': u'空心菜'}, {u'score': 0.310683727264, u'name': u'非果蔬食材'}, {u'score': 0.0399910993874, u'name': u'蕹菜'}]",3
7,132383255467246282,"[{u'score': 0.631508052349, u'name': u'非果蔬食材'}, {u'score': 0.110520936549, u'name': u'空心菜'}, {u'score': 0.108325816691, u'name': u'苜蓿菜'}]",3
8,5409373591907576023,"[{u'score': 0.69918513298, u'name': u'非果蔬食材'}, {u'score': 0.153153702617, u'name': u'空心菜'}, {u'score': 0.0910741612315, u'name': u'蕹菜'}]",3
9,5804299782997418045,"[{u'score': 0.359937012196, u'name': u'苜蓿菜'}, {u'score': 0.166257172823, u'name': u'空心菜'}, {u'score': 0.151243671775, u'name': u'非果蔬食材'}]",3
10,913404840398682321,"[{u'score': 0.709791243076, u'name': u'非果蔬食材'}, {u'score': 0.0944974124432, u'name': u'豆瓣菜'}, {u'score': 0.068833746016, u'name': u'苜蓿菜'}]",3
11,988216310174739437,"[{u'score': 0.324204087257, u'name': u'苜蓿菜'}, {u'score': 0.211771532893, u'name': u'豆瓣菜'}, {u'score': 0.17154443264, u'name': u'空心菜'}]",3
12,2009852220553885096,"[{u'score': 0.667296230793, u'name': u'非果蔬食材'}, {u'score': 0.179285109043, u'name': u'苜蓿菜'}, {u'score': 0.0314098261297, u'name': u'金花菜'}]",3
13,4607013461045095691,"[{u'score': 0.671096026897, u'name': u'非果蔬食材'}, {u'score': 0.0972964763641, u'name': u'苜蓿菜'}, {u'score': 0.0834805890918, u'name': u'苋菜'}]",3
14,5030273420027117741,"[{u'score': 0.415933728218, u'name': u'空心菜'}, {u'score': 0.200404062867, u'name': u'苜蓿菜'}, {u'score': 0.143696382642, u'name': u'非果蔬食材'}]",3
15,2976618317693264913,"[{u'score': 0.638905107975, u'name': u'空心菜'}, {u'score': 0.129775702953, u'name': u'非果蔬食材'}, {u'score': 0.0776283368468, u'name': u'苋菜'}]",3
16,7430345340795768404,"[{u'score': 0.56420737505, u'name': u'非果蔬食材'}, {u'score': 0.214235976338, u'name': u'苜蓿菜'}, {u'score': 0.054391015321, u'name': u'空心菜'}]",3
17,8332679515791454160,"[{u'score': 0.383397042751, u'name': u'油菜'}, {u'score': 0.267305582762, u'name': u'青菜'}, {u'score': 0.0824917256832, u'name': u'苋菜'}]",3
18,1758327406545748575,"[{u'score': 0.334441244602, u'name': u'苋菜'}, {u'score': 0.262573778629, u'name': u'米苋'}, {u'score': 0.123736895621, u'name': u'油菜'}]",3
19,437314799094170185,"[{u'score': 0.342645525932, u'name': u'非果蔬食材'}, {u'score': 0.295601248741, u'name': u'青菜'}, {u'score': 0.0964021980762, u'name': u'小青菜'}]",3
20,7335942851859959071,"[{u'score': 0.382968395948, u'name': u'非果蔬食材'}, {u'score': 0.155410706997, u'name': u'菠菜'}, {u'score': 0.148442909122, u'name': u'苋菜'}]",3
21,2695399089688072628,"[{u'score': 0.749615609646, u'name': u'非果蔬食材'}, {u'score': 0.129303559661, u'name': u'芥菜'}, {u'score': 0.017927069217, u'name': u'样芹菜'}]",3
22,5555510994207507695,"[{u'score': 0.436564087868, u'name': u'青菜'}, {u'score': 0.283516615629, u'name': u'上海青'}, {u'score': 0.0804190784693, u'name': u'非果蔬食材'}]",3
23,6314631051740045388,"[{u'score': 0.637862563133, u'name': u'非果蔬食材'}, {u'score': 0.125314950943, u'name': u'芥菜'}, {u'score': 0.0879481211305, u'name': u'青菜'}]",3
24,6873565414260001693,"[{u'score': 0.901238381863, u'name': u'非果蔬食材'}, {u'score': 0.0275862812996, u'name': u'芥菜'}, {u'score': 0.0207223445177, u'name': u'青菜'}]",3
25,5651716191505779494,"[{u'score': 0.998450636864, u'name': u'非果蔬食材'}, {u'score': 0.000283329427475, u'name': u'样芹菜'}, {u'score': 0.000225452153245, u'name': u'蕨菜'}]",3
26,7632680215708794501,"[{u'score': 0.995020031929, u'name': u'非果蔬食材'}, {u'score': 0.000455226923805, u'name': u'莴苣'}, {u'score': 0.000336750556016, u'name': u'莼菜'}]",3
27,8878109567737938744,"[{u'score': 0.823851466179, u'name': u'非果蔬食材'}, {u'score': 0.0209931377321, u'name': u'芜菁'}, {u'score': 0.0137145444751, u'name': u'秋葵'}]",3
28,9079033766869085470,"[{u'score': 0.86513030529, u'name': u'非果蔬食材'}, {u'score': 0.0138369631022, u'name': u'丝瓜'}, {u'score': 0.00868817046285, u'name': u'茄子'}]",3
29,3131045097613433306,"[{u'score': 0.835926115513, u'name': u'非果蔬食材'}, {u'score': 0.0127152139321, u'name': u'菠菜'}, {u'score': 0.0117908632383, u'name': u'荷兰豆'}]",3
30,8315686285217839043,"[{u'score': 0.472470283508, u'name': u'非果蔬食材'}, {u'score': 0.120929956436, u'name': u'荷兰豆'}, {u'score': 0.101719275117, u'name': u'秋葵'}]",3
